sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,awake_std_tm1,onset_latency_std_t,directed,awake_std_tm1 -> onset_latency_std_t,0.281
0.5,promis_anx_sum_t,promis_dep_sum_t,directed,promis_anx_sum_t -> promis_dep_sum_t,0.723
0.5,hr_average_mean_t,rmssd_mean_t,directed,hr_average_mean_t -> rmssd_mean_t,0.756
0.5,hr_average_mean_t,breath_average_mean_t,directed,hr_average_mean_t -> breath_average_mean_t,0.509
0.5,hr_average_mean_t,hr_lowest_mean_t,directed,hr_average_mean_t -> hr_lowest_mean_t,0.883
0.5,breath_average_mean_t,hr_average_std_t,directed,breath_average_mean_t -> hr_average_std_t,0.17
0.5,breath_average_std_t,hr_average_std_t,directed,breath_average_std_t -> hr_average_std_t,0.641
0.5,efficiency_std_t,hr_average_std_t,directed,efficiency_std_t -> hr_average_std_t,0.293
0.5,rmssd_mean_t,hr_lowest_mean_t,directed,rmssd_mean_t -> hr_lowest_mean_t,0.162
0.5,rmssd_mean_t,rem_mean_t,directed,rmssd_mean_t -> rem_mean_t,0.331
0.5,rmssd_std_t,temperature_trend_deviation_std_t,directed,rmssd_std_t -> temperature_trend_deviation_std_t,0.013
0.5,rmssd_std_t,deep_std_t,directed,rmssd_std_t -> deep_std_t,0.768
0.5,awake_std_t,breath_average_mean_t,directed,awake_std_t -> breath_average_mean_t,0.477
0.5,breath_v_average_mean_t,breath_average_std_t,directed,breath_v_average_mean_t -> breath_average_std_t,0.649
0.5,breath_v_average_std_t,breath_average_std_t,directed,breath_v_average_std_t -> breath_average_std_t,0.812
0.5,temperature_deviation_std_t,breath_average_std_t,directed,temperature_deviation_std_t -> breath_average_std_t,0.86
0.5,deep_std_t,breath_average_std_t,directed,deep_std_t -> breath_average_std_t,0.76
0.5,light_std_t,breath_average_std_t,directed,light_std_t -> breath_average_std_t,0.063
0.5,rem_mean_t,breath_average_std_t,directed,rem_mean_t -> breath_average_std_t,0.298
0.5,hr_lowest_mean_t,onset_latency_mean_t,directed,hr_lowest_mean_t -> onset_latency_mean_t,0.092
0.5,hr_lowest_std_t,efficiency_std_t,directed,hr_lowest_std_t -> efficiency_std_t,0.801
0.5,breath_v_average_mean_t,deep_mean_t,directed,breath_v_average_mean_t -> deep_mean_t,0.022
0.5,temperature_deviation_std_t,breath_v_average_std_t,directed,temperature_deviation_std_t -> breath_v_average_std_t,0.037
0.5,deep_std_t,breath_v_average_std_t,directed,deep_std_t -> breath_v_average_std_t,0.316
0.5,temperature_deviation_mean_t,awake_mean_t,directed,temperature_deviation_mean_t -> awake_mean_t,0.32
0.5,temperature_deviation_std_t,awake_std_t,directed,temperature_deviation_std_t -> awake_std_t,0.538
0.5,awake_mean_t,temperature_trend_deviation_std_t,directed,awake_mean_t -> temperature_trend_deviation_std_t,0.09
0.5,temperature_max_mean_t,rem_mean_t,directed,temperature_max_mean_t -> rem_mean_t,0.191
0.5,onset_latency_mean_t,awake_mean_t,directed,onset_latency_mean_t -> awake_mean_t,0.67
0.5,awake_std_t,onset_latency_std_t,directed,awake_std_t -> onset_latency_std_t,0.291
0.5,light_mean_t,rem_mean_t,directed,light_mean_t -> rem_mean_t,0.253
0.5,light_mean_t,awake_mean_t,directed,light_mean_t -> awake_mean_t,0.164
0.5,age_binned,onset_latency_mean_tm1,directed,age_binned -> onset_latency_mean_tm1,0.008
0.5,sex_encoded,hr_average_std_t,directed,sex_encoded -> hr_average_std_t,0.339
0.5,race_encoded,deep_std_t,directed,race_encoded -> deep_std_t,0.445
0.5,promis_dep_sum_tm1,deep_std_t,directed,promis_dep_sum_tm1 -> deep_std_t,0.014
0.5,hr_lowest_mean_tm1,breath_average_mean_tm1,directed,hr_lowest_mean_tm1 -> breath_average_mean_tm1,0.538
0.5,breath_average_mean_tm1,awake_mean_t,directed,breath_average_mean_tm1 -> awake_mean_t,0.003
0.5,temperature_deviation_mean_tm1,temperature_trend_deviation_mean_t,directed,temperature_deviation_mean_tm1 -> temperature_trend_deviation_mean_t,0.452
0.5,temperature_trend_deviation_mean_tm1,temperature_deviation_mean_t,directed,temperature_trend_deviation_mean_tm1 -> temperature_deviation_mean_t,0.53
0.5,temperature_trend_deviation_std_tm1,awake_std_tm1,directed,temperature_trend_deviation_std_tm1 -> awake_std_tm1,0.755
0.5,temperature_max_std_tm1,deep_std_tm1,directed,temperature_max_std_tm1 -> deep_std_tm1,0.646
